feature_code,date_code,units,value,region_of_residence,breakdown_of_domestic_tourism,local_authority
S12000026,2009-2011,million pounds (GBP),29,Scotland,Expenditure,Scottish Borders
S12000026,2011-2013,million pounds (GBP),31,Scotland,Expenditure,Scottish Borders
S12000026,2016-2018,Thousand Nights,637,England,Nights,Scottish Borders
S12000027,2011-2013,Thousand Nights,243,Scotland,Nights,Shetland Islands
S12000027,2010-2012,million pounds (GBP),25,All of GB,Expenditure,Shetland Islands
S12000027,2012-2014,Thousand Nights,425,Scotland,Nights,Shetland Islands
S12000027,2015-2017,Thousand Nights,426,All of GB,Nights,Shetland Islands
S12000027,2016-2018,Thousand Nights,186,Scotland,Nights,Shetland Islands
S12000027,2017-2019,million pounds (GBP),4,England,Expenditure,Shetland Islands
S12000027,2009-2011,million pounds (GBP),8,England,Expenditure,Shetland Islands
S12000027,2015-2017,million pounds (GBP),5,Scotland,Expenditure,Shetland Islands
S12000027,2010-2012,Thousand Nights,212,All of GB,Nights,Shetland Islands
S12000027,2011-2013,Thousand Visits,60,All of GB,Visits,Shetland Islands
S12000027,2013-2015,Thousand Nights,770,All of GB,Nights,Shetland Islands
S12000027,2009-2011,Thousand Nights,42,Scotland,Nights,Shetland Islands
S12000027,2011-2013,Thousand Visits,25,Scotland,Visits,Shetland Islands
S12000027,2009-2011,Thousand Visits,12,Scotland,Visits,Shetland Islands
S12000027,2013-2015,million pounds (GBP),39,All of GB,Expenditure,Shetland Islands
S12000027,2010-2012,Thousand Visits,44,All of GB,Visits,Shetland Islands
S12000027,2011-2013,Thousand Nights,280,England,Nights,Shetland Islands
S12000027,2010-2012,Thousand Visits,17,Scotland,Visits,Shetland Islands
S12000027,2012-2014,Thousand Visits,39,Scotland,Visits,Shetland Islands
S12000027,2015-2017,Thousand Visits,49,All of GB,Visits,Shetland Islands
S12000027,2017-2019,Thousand Nights,98,England,Nights,Shetland Islands
S12000027,2010-2012,million pounds (GBP),14,Scotland,Expenditure,Shetland Islands
S12000027,2016-2018,Thousand Nights,375,All of GB,Nights,Shetland Islands
S12000027,2013-2015,Thousand Nights,605,England,Nights,Shetland Islands
S12000027,2014-2016,million pounds (GBP),19,England,Expenditure,Shetland Islands
S12000027,2011-2013,million pounds (GBP),22,England,Expenditure,Shetland Islands
S12000027,2012-2014,Thousand Visits,75,All of GB,Visits,Shetland Islands
S12000027,2014-2016,Thousand Visits,36,England,Visits,Shetland Islands
S12000027,2011-2013,Thousand Nights,523,All of GB,Nights,Shetland Islands
S12000027,2015-2017,Thousand Visits,17,Scotland,Visits,Shetland Islands
S12000027,2014-2016,Thousand Nights,505,England,Nights,Shetland Islands
S12000027,2013-2015,Thousand Visits,68,All of GB,Visits,Shetland Islands
S12000027,2011-2013,million pounds (GBP),9,Scotland,Expenditure,Shetland Islands
S12000027,2014-2016,Thousand Nights,306,Scotland,Nights,Shetland Islands
S12000027,2014-2016,Thousand Nights,627,All of GB,Nights,Shetland Islands
S12000027,2010-2012,Thousand Nights,101,England,Nights,Shetland Islands
S12000027,2010-2012,Thousand Visits,26,England,Visits,Shetland Islands
S12000027,2009-2011,Thousand Visits,37,All of GB,Visits,Shetland Islands
S12000027,2013-2015,Thousand Nights,350,Scotland,Nights,Shetland Islands
S12000027,2015-2017,Thousand Visits,32,England,Visits,Shetland Islands
S12000027,2012-2014,million pounds (GBP),20,Scotland,Expenditure,Shetland Islands
S12000027,2017-2019,Thousand Nights,251,All of GB,Nights,Shetland Islands
S12000027,2016-2018,Thousand Visits,45,All of GB,Visits,Shetland Islands
S12000027,2016-2018,Thousand Visits,16,Scotland,Visits,Shetland Islands
S12000027,2017-2019,million pounds (GBP),2,Scotland,Expenditure,Shetland Islands
S12000027,2012-2014,Thousand Nights,543,England,Nights,Shetland Islands
S12000027,2013-2015,Thousand Visits,36,England,Visits,Shetland Islands
S12000027,2013-2015,Thousand Visits,32,Scotland,Visits,Shetland Islands
S12000027,2016-2018,million pounds (GBP),3,Scotland,Expenditure,Shetland Islands
S12000027,2015-2017,million pounds (GBP),19,All of GB,Expenditure,Shetland Islands
S12000027,2013-2015,million pounds (GBP),15,Scotland,Expenditure,Shetland Islands
S12000027,2016-2018,million pounds (GBP),15,All of GB,Expenditure,Shetland Islands
S12000027,2009-2011,million pounds (GBP),19,All of GB,Expenditure,Shetland Islands
S12000027,2011-2013,Thousand Visits,35,England,Visits,Shetland Islands
S12000027,2014-2016,Thousand Visits,65,All of GB,Visits,Shetland Islands
S12000027,2014-2016,million pounds (GBP),33,All of GB,Expenditure,Shetland Islands
S12000027,2014-2016,million pounds (GBP),14,Scotland,Expenditure,Shetland Islands
S12000027,2012-2014,million pounds (GBP),22,England,Expenditure,Shetland Islands
S12000027,2017-2019,Thousand Visits,31,All of GB,Visits,Shetland Islands
S12000027,2009-2011,million pounds (GBP),9,Scotland,Expenditure,Shetland Islands
S12000027,2016-2018,Thousand Nights,189,England,Nights,Shetland Islands
S12000027,2012-2014,million pounds (GBP),42,All of GB,Expenditure,Shetland Islands
S12000027,2011-2013,million pounds (GBP),31,All of GB,Expenditure,Shetland Islands
S12000027,2009-2011,Thousand Visits,18,England,Visits,Shetland Islands
S12000027,2016-2018,million pounds (GBP),13,England,Expenditure,Shetland Islands
S12000027,2015-2017,Thousand Nights,143,Scotland,Nights,Shetland Islands
S12000027,2017-2019,Thousand Visits,13,Scotland,Visits,Shetland Islands
S12000027,2010-2012,Thousand Nights,95,Scotland,Nights,Shetland Islands
S12000027,2017-2019,Thousand Visits,18,England,Visits,Shetland Islands
S12000027,2010-2012,million pounds (GBP),10,England,Expenditure,Shetland Islands
S12000027,2015-2017,million pounds (GBP),15,England,Expenditure,Shetland Islands
S12000027,2012-2014,Thousand Visits,36,England,Visits,Shetland Islands
S12000027,2017-2019,Thousand Nights,152,Scotland,Nights,Shetland Islands
S12000027,2016-2018,Thousand Visits,29,England,Visits,Shetland Islands
S12000027,2009-2011,Thousand Nights,150,All of GB,Nights,Shetland Islands
S12000027,2014-2016,Thousand Visits,29,Scotland,Visits,Shetland Islands
S12000027,2013-2015,million pounds (GBP),23,England,Expenditure,Shetland Islands
S12000027,2017-2019,million pounds (GBP),7,All of GB,Expenditure,Shetland Islands
S12000027,2009-2011,Thousand Nights,54,England,Nights,Shetland Islands
S12000027,2015-2017,Thousand Nights,283,England,Nights,Shetland Islands
S12000027,2012-2014,Thousand Nights,784,All of GB,Nights,Shetland Islands
S12000028,2013-2015,million pounds (GBP),29,Scotland,Expenditure,South Ayrshire
S12000028,2011-2013,million pounds (GBP),72,All of GB,Expenditure,South Ayrshire
S12000028,2016-2018,Thousand Visits,354,All of GB,Visits,South Ayrshire
S12000028,2011-2013,million pounds (GBP),43,England,Expenditure,South Ayrshire
S12000028,2012-2014,Thousand Visits,362,All of GB,Visits,South Ayrshire
S12000028,2016-2018,million pounds (GBP),46,England,Expenditure,South Ayrshire
S12000028,2017-2019,Thousand Visits,163,England,Visits,South Ayrshire
S12000028,2017-2019,Thousand Visits,208,Scotland,Visits,South Ayrshire
S12000028,2011-2013,Thousand Nights,492,Scotland,Nights,South Ayrshire
S12000028,2017-2019,million pounds (GBP),36,Scotland,Expenditure,South Ayrshire
S12000028,2014-2016,Thousand Nights,636,Scotland,Nights,South Ayrshire
S12000028,2012-2014,million pounds (GBP),23,Scotland,Expenditure,South Ayrshire
S12000028,2016-2018,million pounds (GBP),40,Scotland,Expenditure,South Ayrshire
S12000028,2017-2019,Thousand Nights,726,Scotland,Nights,South Ayrshire
S12000028,2015-2017,million pounds (GBP),71,All of GB,Expenditure,South Ayrshire
S12000028,2016-2018,Thousand Visits,217,Scotland,Visits,South Ayrshire
S12000028,2010-2012,Thousand Nights,1205,All of GB,Nights,South Ayrshire
S12000028,2014-2016,Thousand Visits,100,England,Visits,South Ayrshire
S12000028,2011-2013,Thousand Nights,1222,All of GB,Nights,South Ayrshire
S12000028,2017-2019,million pounds (GBP),45,England,Expenditure,South Ayrshire
S12000028,2015-2017,Thousand Visits,205,Scotland,Visits,South Ayrshire
S12000028,2015-2017,Thousand Nights,939,All of GB,Nights,South Ayrshire
S12000028,2011-2013,Thousand Visits,320,All of GB,Visits,South Ayrshire
S12000028,2014-2016,Thousand Nights,955,All of GB,Nights,South Ayrshire
S12000028,2010-2012,million pounds (GBP),24,Scotland,Expenditure,South Ayrshire
S12000028,2010-2012,million pounds (GBP),34,England,Expenditure,South Ayrshire
S12000028,2010-2012,Thousand Nights,535,Scotland,Nights,South Ayrshire
S12000028,2012-2014,Thousand Visits,168,England,Visits,South Ayrshire
S12000028,2012-2014,Thousand Visits,194,Scotland,Visits,South Ayrshire
S12000028,2011-2013,Thousand Nights,721,England,Nights,South Ayrshire
S12000028,2014-2016,million pounds (GBP),29,England,Expenditure,South Ayrshire
S12000028,2009-2011,million pounds (GBP),45,England,Expenditure,South Ayrshire
S12000028,2009-2011,Thousand Visits,156,England,Visits,South Ayrshire
S12000028,2012-2014,million pounds (GBP),38,England,Expenditure,South Ayrshire
S12000028,2015-2017,Thousand Visits,99,England,Visits,South Ayrshire
S12000028,2015-2017,Thousand Nights,349,England,Nights,South Ayrshire
S12000028,2011-2013,million pounds (GBP),19,Scotland,Expenditure,South Ayrshire
S12000028,2013-2015,Thousand Nights,616,Scotland,Nights,South Ayrshire
S12000028,2010-2012,million pounds (GBP),67,All of GB,Expenditure,South Ayrshire
S12000028,2016-2018,Thousand Nights,617,England,Nights,South Ayrshire
S12000028,2009-2011,Thousand Nights,682,Scotland,Nights,South Ayrshire
S12000028,2012-2014,Thousand Nights,539,Scotland,Nights,South Ayrshire
S12000028,2013-2015,million pounds (GBP),28,England,Expenditure,South Ayrshire
S12000028,2016-2018,million pounds (GBP),86,All of GB,Expenditure,South Ayrshire
S12000028,2014-2016,Thousand Visits,343,All of GB,Visits,South Ayrshire
S12000028,2014-2016,million pounds (GBP),37,Scotland,Expenditure,South Ayrshire
S12000028,2009-2011,million pounds (GBP),83,All of GB,Expenditure,South Ayrshire
S12000028,2011-2013,Thousand Visits,158,England,Visits,South Ayrshire
S12000028,2010-2012,Thousand Visits,305,All of GB,Visits,South Ayrshire
S12000028,2013-2015,Thousand Nights,661,England,Nights,South Ayrshire
S12000028,2009-2011,Thousand Nights,1361,All of GB,Nights,South Ayrshire
S12000028,2013-2015,million pounds (GBP),57,All of GB,Expenditure,South Ayrshire
S12000028,2013-2015,Thousand Visits,134,England,Visits,South Ayrshire
S12000028,2016-2018,Thousand Nights,765,Scotland,Nights,South Ayrshire
S12000028,2010-2012,Thousand Visits,171,Scotland,Visits,South Ayrshire
S12000028,2014-2016,million pounds (GBP),67,All of GB,Expenditure,South Ayrshire
S12000028,2014-2016,Thousand Nights,525,England,Nights,South Ayrshire
S12000028,2012-2014,Thousand Nights,918,England,Nights,South Ayrshire
S12000028,2017-2019,Thousand Visits,373,All of GB,Visits,South Ayrshire
S12000028,2011-2013,Thousand Visits,159,Scotland,Visits,South Ayrshire
S12000028,2014-2016,Thousand Visits,243,Scotland,Visits,South Ayrshire
S12000028,2010-2012,Thousand Visits,128,England,Visits,South Ayrshire
S12000028,2009-2011,Thousand Visits,382,All of GB,Visits,South Ayrshire
S12000028,2012-2014,million pounds (GBP),61,All of GB,Expenditure,South Ayrshire
S12000028,2015-2017,Thousand Visits,304,All of GB,Visits,South Ayrshire
S12000028,2017-2019,million pounds (GBP),82,All of GB,Expenditure,South Ayrshire
S12000028,2012-2014,Thousand Nights,1251,All of GB,Nights,South Ayrshire
S12000028,2013-2015,Thousand Visits,239,Scotland,Visits,South Ayrshire
S12000028,2017-2019,Thousand Nights,761,England,Nights,South Ayrshire
S12000028,2017-2019,Thousand Nights,1493,All of GB,Nights,South Ayrshire
S12000028,2016-2018,Thousand Visits,135,England,Visits,South Ayrshire
S12000028,2016-2018,Thousand Nights,1388,All of GB,Nights,South Ayrshire
S12000028,2009-2011,Thousand Visits,216,Scotland,Visits,South Ayrshire
S12000028,2015-2017,million pounds (GBP),36,Scotland,Expenditure,South Ayrshire
S12000028,2015-2017,million pounds (GBP),35,England,Expenditure,South Ayrshire
S12000028,2009-2011,Thousand Nights,620,England,Nights,South Ayrshire
S12000028,2013-2015,Thousand Visits,373,All of GB,Visits,South Ayrshire
S12000028,2013-2015,Thousand Nights,1069,All of GB,Nights,South Ayrshire
S12000028,2015-2017,Thousand Nights,590,Scotland,Nights,South Ayrshire
S12000028,2010-2012,Thousand Nights,641,England,Nights,South Ayrshire
S12000028,2009-2011,million pounds (GBP),28,Scotland,Expenditure,South Ayrshire
S12000029,2015-2017,Thousand Visits,129,All of GB,Visits,South Lanarkshire
S12000029,2010-2012,million pounds (GBP),26,All of GB,Expenditure,South Lanarkshire
S12000029,2016-2018,Thousand Nights,270,England,Nights,South Lanarkshire
S12000029,2009-2011,Thousand Nights,242,England,Nights,South Lanarkshire
S12000029,2017-2019,Thousand Nights,48,Scotland,Nights,South Lanarkshire
S12000029,2012-2014,Thousand Visits,75,Scotland,Visits,South Lanarkshire
S12000029,2009-2011,million pounds (GBP),12,England,Expenditure,South Lanarkshire
S12000029,2017-2019,Thousand Visits,94,England,Visits,South Lanarkshire
S12000029,2017-2019,million pounds (GBP),15,England,Expenditure,South Lanarkshire
S12000029,2013-2015,Thousand Visits,62,England,Visits,South Lanarkshire
S12000029,2016-2018,Thousand Visits,108,England,Visits,South Lanarkshire
S12000029,2014-2016,million pounds (GBP),3,Scotland,Expenditure,South Lanarkshire
S12000029,2016-2018,million pounds (GBP),22,All of GB,Expenditure,South Lanarkshire
S12000029,2017-2019,Thousand Visits,39,Scotland,Visits,South Lanarkshire
S12000029,2009-2011,million pounds (GBP),10,Scotland,Expenditure,South Lanarkshire
S12000029,2010-2012,million pounds (GBP),13,England,Expenditure,South Lanarkshire
S12000029,2011-2013,Thousand Visits,106,Scotland,Visits,South Lanarkshire
S12000029,2011-2013,Thousand Nights,195,Scotland,Nights,South Lanarkshire
S12000029,2012-2014,million pounds (GBP),19,All of GB,Expenditure,South Lanarkshire
S12000029,2016-2018,Thousand Visits,140,All of GB,Visits,South Lanarkshire
S12000029,2015-2017,million pounds (GBP),3,Scotland,Expenditure,South Lanarkshire
S12000029,2015-2017,million pounds (GBP),24,All of GB,Expenditure,South Lanarkshire
S12000029,2016-2018,million pounds (GBP),17,England,Expenditure,South Lanarkshire
S12000029,2009-2011,Thousand Visits,65,England,Visits,South Lanarkshire
S12000029,2012-2014,Thousand Nights,149,Scotland,Nights,South Lanarkshire
S12000029,2009-2011,million pounds (GBP),24,All of GB,Expenditure,South Lanarkshire
S12000029,2011-2013,Thousand Nights,220,England,Nights,South Lanarkshire
S12000029,2010-2012,Thousand Nights,292,Scotland,Nights,South Lanarkshire
S12000029,2015-2017,Thousand Visits,87,England,Visits,South Lanarkshire
S12000029,2011-2013,million pounds (GBP),25,All of GB,Expenditure,South Lanarkshire
S12000029,2012-2014,million pounds (GBP),8,Scotland,Expenditure,South Lanarkshire
S12000029,2015-2017,Thousand Nights,53,Scotland,Nights,South Lanarkshire
S12000029,2013-2015,Thousand Visits,47,Scotland,Visits,South Lanarkshire
S12000029,2017-2019,million pounds (GBP),5,Scotland,Expenditure,South Lanarkshire
S12000029,2011-2013,million pounds (GBP),14,England,Expenditure,South Lanarkshire
S12000029,2014-2016,million pounds (GBP),22,All of GB,Expenditure,South Lanarkshire
S12000029,2009-2011,Thousand Nights,261,Scotland,Nights,South Lanarkshire
S12000029,2014-2016,Thousand Visits,28,Scotland,Visits,South Lanarkshire
S12000029,2014-2016,million pounds (GBP),16,England,Expenditure,South Lanarkshire
S12000029,2014-2016,Thousand Nights,204,England,Nights,South Lanarkshire
S12000029,2010-2012,Thousand Nights,517,All of GB,Nights,South Lanarkshire
S12000029,2009-2011,Thousand Visits,183,All of GB,Visits,South Lanarkshire
S12000029,2010-2012,Thousand Visits,126,Scotland,Visits,South Lanarkshire
S12000029,2017-2019,Thousand Nights,283,England,Nights,South Lanarkshire
S12000029,2016-2018,Thousand Visits,29,Scotland,Visits,South Lanarkshire
S12000029,2011-2013,Thousand Visits,178,All of GB,Visits,South Lanarkshire
S12000029,2015-2017,million pounds (GBP),18,England,Expenditure,South Lanarkshire
S12000029,2012-2014,Thousand Visits,135,All of GB,Visits,South Lanarkshire
S12000029,2017-2019,Thousand Nights,348,All of GB,Nights,South Lanarkshire
S12000029,2013-2015,Thousand Visits,119,All of GB,Visits,South Lanarkshire
S12000029,2015-2017,Thousand Nights,289,All of GB,Nights,South Lanarkshire
S12000029,2009-2011,Thousand Nights,533,All of GB,Nights,South Lanarkshire
S12000029,2013-2015,million pounds (GBP),6,Scotland,Expenditure,South Lanarkshire
S12000029,2016-2018,Thousand Nights,40,Scotland,Nights,South Lanarkshire
S12000029,2014-2016,Thousand Visits,83,England,Visits,South Lanarkshire
S12000029,2011-2013,Thousand Nights,429,All of GB,Nights,South Lanarkshire
S12000029,2012-2014,million pounds (GBP),11,England,Expenditure,South Lanarkshire
S12000029,2016-2018,Thousand Nights,323,All of GB,Nights,South Lanarkshire
S12000029,2011-2013,million pounds (GBP),10,Scotland,Expenditure,South Lanarkshire
S12000029,2013-2015,Thousand Nights,181,England,Nights,South Lanarkshire
S12000029,2016-2018,million pounds (GBP),4,Scotland,Expenditure,South Lanarkshire
S12000029,2014-2016,Thousand Nights,55,Scotland,Nights,South Lanarkshire
S12000029,2013-2015,Thousand Nights,266,All of GB,Nights,South Lanarkshire
S12000029,2010-2012,Thousand Visits,69,England,Visits,South Lanarkshire
S12000029,2012-2014,Thousand Nights,296,All of GB,Nights,South Lanarkshire
S12000029,2015-2017,Thousand Nights,210,England,Nights,South Lanarkshire
S12000029,2011-2013,Thousand Visits,70,England,Visits,South Lanarkshire
S12000029,2013-2015,million pounds (GBP),23,All of GB,Expenditure,South Lanarkshire
S12000029,2009-2011,Thousand Visits,113,Scotland,Visits,South Lanarkshire
S12000029,2015-2017,Thousand Visits,29,Scotland,Visits,South Lanarkshire
S12000029,2012-2014,Thousand Visits,60,England,Visits,South Lanarkshire
S12000029,2010-2012,Thousand Visits,196,All of GB,Visits,South Lanarkshire
S12000029,2014-2016,Thousand Nights,252,All of GB,Nights,South Lanarkshire
S12000029,2010-2012,Thousand Nights,211,England,Nights,South Lanarkshire
S12000029,2010-2012,million pounds (GBP),12,Scotland,Expenditure,South Lanarkshire
S12000029,2014-2016,Thousand Visits,121,All of GB,Visits,South Lanarkshire
S12000029,2017-2019,Thousand Visits,139,All of GB,Visits,South Lanarkshire
S12000029,2012-2014,Thousand Nights,167,England,Nights,South Lanarkshire
S12000029,2013-2015,million pounds (GBP),15,England,Expenditure,South Lanarkshire
S12000029,2013-2015,Thousand Nights,91,Scotland,Nights,South Lanarkshire
S12000029,2017-2019,million pounds (GBP),20,All of GB,Expenditure,South Lanarkshire
S12000030,2010-2012,Thousand Nights,1236,All of GB,Nights,Stirling
S12000030,2013-2015,million pounds (GBP),40,Scotland,Expenditure,Stirling
S12000030,2017-2019,Thousand Nights,955,All of GB,Nights,Stirling
S12000030,2013-2015,Thousand Nights,509,Scotland,Nights,Stirling
S12000030,2015-2017,million pounds (GBP),75,All of GB,Expenditure,Stirling
S12000030,2010-2012,Thousand Nights,721,England,Nights,Stirling
S12000030,2010-2012,million pounds (GBP),72,All of GB,Expenditure,Stirling
S12000030,2011-2013,Thousand Visits,233,Scotland,Visits,Stirling
S12000030,2015-2017,Thousand Nights,1137,All of GB,Nights,Stirling
S12000030,2011-2013,Thousand Nights,684,England,Nights,Stirling
S12000030,2016-2018,Thousand Visits,130,England,Visits,Stirling
S12000030,2010-2012,Thousand Visits,366,All of GB,Visits,Stirling
S12000030,2012-2014,Thousand Visits,393,All of GB,Visits,Stirling
S12000030,2011-2013,Thousand Nights,528,Scotland,Nights,Stirling
S12000030,2015-2017,million pounds (GBP),34,Scotland,Expenditure,Stirling
S12000030,2016-2018,Thousand Visits,331,All of GB,Visits,Stirling
S12000030,2010-2012,Thousand Visits,203,Scotland,Visits,Stirling
S12000030,2010-2012,Thousand Visits,152,England,Visits,Stirling
S12000030,2012-2014,Thousand Nights,1114,All of GB,Nights,Stirling
S12000030,2011-2013,million pounds (GBP),34,Scotland,Expenditure,Stirling
S12000030,2015-2017,Thousand Nights,447,Scotland,Nights,Stirling
S12000030,2009-2011,Thousand Visits,174,England,Visits,Stirling
S12000030,2014-2016,Thousand Visits,177,England,Visits,Stirling
S12000030,2017-2019,million pounds (GBP),40,Scotland,Expenditure,Stirling
S12000030,2016-2018,million pounds (GBP),36,Scotland,Expenditure,Stirling
S12000030,2009-2011,Thousand Nights,1287,All of GB,Nights,Stirling
S12000030,2016-2018,Thousand Nights,445,Scotland,Nights,Stirling
S12000030,2017-2019,Thousand Visits,126,England,Visits,Stirling
S12000030,2013-2015,million pounds (GBP),46,England,Expenditure,Stirling
S12000030,2013-2015,million pounds (GBP),87,All of GB,Expenditure,Stirling
S12000030,2009-2011,million pounds (GBP),66,All of GB,Expenditure,Stirling
S12000030,2009-2011,Thousand Visits,362,All of GB,Visits,Stirling
S12000030,2010-2012,million pounds (GBP),23,Scotland,Expenditure,Stirling
S12000030,2017-2019,Thousand Visits,383,All of GB,Visits,Stirling
S12000030,2016-2018,Thousand Nights,461,England,Nights,Stirling
S12000030,2012-2014,Thousand Nights,752,England,Nights,Stirling
S12000030,2013-2015,Thousand Nights,809,England,Nights,Stirling
S12000030,2012-2014,Thousand Visits,228,Scotland,Visits,Stirling
S12000030,2011-2013,Thousand Nights,1266,All of GB,Nights,Stirling
S12000030,2011-2013,Thousand Visits,154,England,Visits,Stirling
S12000030,2013-2015,Thousand Visits,432,All of GB,Visits,Stirling
S12000030,2015-2017,Thousand Visits,211,Scotland,Visits,Stirling
S12000030,2016-2018,Thousand Nights,934,All of GB,Nights,Stirling
S12000030,2014-2016,million pounds (GBP),80,All of GB,Expenditure,Stirling
S12000030,2016-2018,Thousand Visits,192,Scotland,Visits,Stirling
S12000030,2014-2016,Thousand Visits,436,All of GB,Visits,Stirling
S12000030,2009-2011,Thousand Visits,184,Scotland,Visits,Stirling
S12000030,2014-2016,Thousand Nights,557,Scotland,Nights,Stirling
S12000030,2015-2017,million pounds (GBP),39,England,Expenditure,Stirling
S12000030,2014-2016,Thousand Nights,781,England,Nights,Stirling
S12000030,2013-2015,Thousand Visits,243,Scotland,Visits,Stirling
S12000030,2011-2013,million pounds (GBP),40,England,Expenditure,Stirling
S12000030,2015-2017,Thousand Visits,402,All of GB,Visits,Stirling
S12000030,2017-2019,million pounds (GBP),67,All of GB,Expenditure,Stirling
S12000030,2010-2012,million pounds (GBP),42,England,Expenditure,Stirling
S12000030,2009-2011,Thousand Nights,873,England,Nights,Stirling
S12000030,2016-2018,million pounds (GBP),27,England,Expenditure,Stirling
S12000030,2014-2016,million pounds (GBP),41,England,Expenditure,Stirling
S12000030,2013-2015,Thousand Visits,181,England,Visits,Stirling
S12000030,2013-2015,Thousand Nights,1175,All of GB,Nights,Stirling
S12000030,2014-2016,million pounds (GBP),38,Scotland,Expenditure,Stirling
S12000030,2012-2014,million pounds (GBP),40,England,Expenditure,Stirling
S12000030,2015-2017,Thousand Visits,176,England,Visits,Stirling
S12000030,2017-2019,Thousand Visits,248,Scotland,Visits,Stirling
S12000030,2012-2014,Thousand Nights,507,Scotland,Nights,Stirling
S12000030,2012-2014,million pounds (GBP),83,All of GB,Expenditure,Stirling
S12000030,2014-2016,Thousand Visits,246,Scotland,Visits,Stirling
S12000030,2017-2019,Thousand Nights,406,England,Nights,Stirling
S12000030,2011-2013,million pounds (GBP),81,All of GB,Expenditure,Stirling
S12000030,2012-2014,million pounds (GBP),37,Scotland,Expenditure,Stirling
S12000030,2016-2018,million pounds (GBP),64,All of GB,Expenditure,Stirling
S12000030,2014-2016,Thousand Nights,1206,All of GB,Nights,Stirling
S12000030,2009-2011,Thousand Nights,410,Scotland,Nights,Stirling
S12000030,2015-2017,Thousand Nights,621,England,Nights,Stirling
S12000030,2009-2011,million pounds (GBP),17,Scotland,Expenditure,Stirling
S12000030,2017-2019,million pounds (GBP),25,England,Expenditure,Stirling
S12000030,2011-2013,Thousand Visits,399,All of GB,Visits,Stirling
S12000030,2012-2014,Thousand Visits,157,England,Visits,Stirling
S12000030,2009-2011,million pounds (GBP),48,England,Expenditure,Stirling
S12000030,2010-2012,Thousand Nights,465,Scotland,Nights,Stirling
S12000030,2017-2019,Thousand Nights,503,Scotland,Nights,Stirling
S12000033,2010-2012,Thousand Visits,744,All of GB,Visits,Aberdeen City
S12000033,2009-2011,Thousand Visits,736,All of GB,Visits,Aberdeen City
S12000033,2017-2019,million pounds (GBP),111,All of GB,Expenditure,Aberdeen City
S12000033,2011-2013,Thousand Visits,447,Scotland,Visits,Aberdeen City
S12000033,2015-2017,million pounds (GBP),156,All of GB,Expenditure,Aberdeen City
S12000033,2016-2018,million pounds (GBP),128,All of GB,Expenditure,Aberdeen City
S12000033,2014-2016,million pounds (GBP),167,All of GB,Expenditure,Aberdeen City
S12000033,2012-2014,Thousand Visits,395,Scotland,Visits,Aberdeen City
S12000033,2013-2015,million pounds (GBP),54,Scotland,Expenditure,Aberdeen City
S12000033,2016-2018,Thousand Visits,574,All of GB,Visits,Aberdeen City
S12000033,2011-2013,Thousand Nights,948,England,Nights,Aberdeen City
S12000033,2015-2017,Thousand Nights,1740,All of GB,Nights,Aberdeen City
S12000033,2014-2016,Thousand Visits,292,England,Visits,Aberdeen City
S12000033,2011-2013,Thousand Visits,315,England,Visits,Aberdeen City
S12000033,2013-2015,million pounds (GBP),158,All of GB,Expenditure,Aberdeen City
S12000033,2014-2016,million pounds (GBP),96,England,Expenditure,Aberdeen City
S12000033,2017-2019,Thousand Visits,223,England,Visits,Aberdeen City
S12000033,2012-2014,million pounds (GBP),63,Scotland,Expenditure,Aberdeen City
S12000033,2010-2012,million pounds (GBP),77,England,Expenditure,Aberdeen City
S12000033,2009-2011,Thousand Visits,295,England,Visits,Aberdeen City
S12000033,2016-2018,Thousand Visits,262,England,Visits,Aberdeen City
S12000033,2009-2011,Thousand Visits,409,Scotland,Visits,Aberdeen City
S12000033,2011-2013,million pounds (GBP),162,All of GB,Expenditure,Aberdeen City
S12000033,2015-2017,million pounds (GBP),86,England,Expenditure,Aberdeen City
S12000033,2016-2018,Thousand Visits,300,Scotland,Visits,Aberdeen City
S12000033,2012-2014,Thousand Visits,718,All of GB,Visits,Aberdeen City
S12000033,2015-2017,Thousand Visits,309,Scotland,Visits,Aberdeen City
S12000033,2010-2012,million pounds (GBP),159,All of GB,Expenditure,Aberdeen City
S12000033,2017-2019,Thousand Visits,317,Scotland,Visits,Aberdeen City
S12000033,2012-2014,million pounds (GBP),83,England,Expenditure,Aberdeen City
S12000033,2011-2013,million pounds (GBP),87,England,Expenditure,Aberdeen City
S12000033,2012-2014,million pounds (GBP),148,All of GB,Expenditure,Aberdeen City
S12000033,2013-2015,Thousand Visits,328,Scotland,Visits,Aberdeen City
S12000033,2016-2018,Thousand Nights,924,England,Nights,Aberdeen City
S12000033,2013-2015,Thousand Visits,661,All of GB,Visits,Aberdeen City
S12000033,2017-2019,Thousand Visits,543,All of GB,Visits,Aberdeen City
S12000033,2015-2017,Thousand Visits,270,England,Visits,Aberdeen City
S12000033,2013-2015,million pounds (GBP),102,England,Expenditure,Aberdeen City
S12000033,2009-2011,million pounds (GBP),164,All of GB,Expenditure,Aberdeen City
S12000033,2016-2018,million pounds (GBP),64,England,Expenditure,Aberdeen City
S12000033,2009-2011,million pounds (GBP),64,Scotland,Expenditure,Aberdeen City
S12000033,2010-2012,Thousand Visits,443,Scotland,Visits,Aberdeen City
S12000033,2016-2018,million pounds (GBP),58,Scotland,Expenditure,Aberdeen City
